                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.2214,                 1.5705,                 1.6835,                0.50342,                0.28943,                0.26891,                0.13607,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.2127,                 1.5552,                  1.678,                0.64915,                0.27188,                  0.314,                0.16926,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.2146,                 1.5628,                 1.6703,                0.51432,                0.32109,                0.31315,                0.16474,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.1969,                 1.5409,                 1.6677,                0.52787,                0.30823,                 0.3229,                0.17471,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.1755,                  1.502,                 1.6405,                0.53482,                0.30315,                0.30108,                0.14889,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                   1.17,                 1.5118,                 1.6393,                0.63536,                0.26624,                0.26902,                0.13535,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                  1.188,                 1.5059,                 1.6522,                0.55141,                0.26794,                0.32141,                0.17157,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.1619,                 1.4499,                 1.6344,                0.52981,                0.26421,                0.30538,                0.15239,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.1623,                 1.4683,                 1.6323,                 0.5669,                0.26693,                0.30159,                0.16295,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                  1.163,                 1.4686,                 1.6307,                0.56356,                0.28897,                0.29954,                0.15201,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.1392,                 1.4282,                 1.6188,                 0.4814,                 0.2963,                0.31479,                0.17488,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.1401,                 1.4273,                 1.6207,                0.55774,                0.31163,                0.29122,                0.14516,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.1321,                 1.3994,                 1.6103,                0.57698,                0.28598,                0.31285,                0.15502,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 1.1384,                 1.3927,                 1.6139,                0.54273,                0.30499,                0.30773,                0.15131,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.1362,                  1.393,                 1.6074,                0.55187,                 0.3011,                0.31593,                0.16665,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.1161,                 1.3865,                 1.5981,                0.49483,                0.30059,                0.27489,                 0.1366,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.1201,                 1.3678,                 1.5892,                0.58164,                0.30425,                0.32568,                 0.1709,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.1127,                 1.3345,                 1.5827,                0.43644,                0.33282,                0.30997,                0.15901,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.1099,                 1.3403,                 1.5868,                0.55011,                0.29548,                0.28935,                0.14358,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.0918,                 1.3236,                 1.5718,                0.49431,                0.30507,                0.28302,                0.14039,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.1178,                 1.3321,                 1.5853,                 0.4994,                0.32972,                0.28641,                0.14476,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.0877,                 1.3036,                 1.5619,                0.50081,                0.31127,                0.30027,                0.14875,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                 1.0849,                 1.2814,                 1.5576,                0.50167,                0.31711,                0.28894,                0.14272,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
